,店名,評論數,星級,標籤,價位,地址,電話,營業時間,網站
73,美珍豆漿早餐店,166,4.6,早餐餐廳,$, 103台北市大同區大龍街87巷103號no. 1, 02 2599 3046,星期六、04:30 到 11:30; 星期日、04:30 到 11:30; 星期一、04:30 到 11:30; 星期二、04:30 到 11:30; 星期三、04:30 到 11:30; 星期四、04:30 到 11:30; 星期五、休息. 隱藏本週營業時間,https://breakfast-restaurant-2448.business.site/?utm_source=gmb&utm_medium=referral
74,綠境 Aroma,158,4.9,小餐館 (Bistro),, 103台北市大同區哈密街59巷47號, 02 2597 9466,星期六、12:00 到 15:00、17:00 到 20:00; 星期日、12:00 到 15:00、17:00 到 20:00; 星期一、12:00 到 15:00、17:00 到 20:00; 星期二、休息; 星期三、休息; 星期四、12:00 到 15:00、17:00 到 20:00; 星期五、12:00 到 15:00、17:00 到 20:00. 隱藏本週營業時間,https://www.facebook.com/%E7%B6%A0%E5%A2%83-Aroma-111917257252520
75,大叔食事,471,3.9,餐廳,, 103台北市大同區哈密街45巷2-12號號, 02 2596 9631,星期六、11:30 到 13:30、17:30 到 20:30; 星期日、11:30 到 13:30、17:30 到 20:30; 星期一、11:30 到 13:30、17:30 到 20:30; 星期二、11:30 到 13:30、17:30 到 20:30; 星期三、11:30 到 13:30、17:30 到 20:30; 星期四、11:30 到 13:30、17:30 到 20:30; 星期五、11:30 到 13:30、17:30 到 20:30. 隱藏本週營業時間,https://www.facebook.com/unclefoodday/
76,大龍街鹹水雞 麻辣雞,12,3.6,熟食店,, 103台北市大同區大龍街271號,,星期六、16:30 到 21:00; 星期日、16:30 到 21:00; 星期一、16:30 到 21:00; 星期二、16:30 到 21:00; 星期三、16:30 到 21:00; 星期四、16:30 到 21:00; 星期五、16:30 到 21:00. 隱藏本週營業時間,
77,油飯小吃麵店,,4.6,中式麵食店,, 103台北市大同區大龍街98號, 0938 511 561,星期六、09:00 到 20:00; 星期日、09:00 到 20:00; 星期一、09:00 到 15:30、17:00 到 20:00; 星期二、09:00 到 15:30、17:00 到 20:00; 星期三、09:00 到 15:30、17:00 到 20:00; 星期四、09:00 到 15:30、17:00 到 20:00; 星期五、09:00 到 15:30、17:00 到 20:00. 隱藏本週營業時間,
78,傳統香滷味,77,4.7,熟食店,, 103台北市大同區大龍街271號, 0905 160 601,星期六、17:00 到 23:00; 星期日、休息; 星期一、17:00 到 23:00; 星期二、17:00 到 23:00; 星期三、17:00 到 23:00; 星期四、17:00 到 23:00; 星期五、17:00 到 23:00. 隱藏本週營業時間,
79,李記川味小吃店,145,4.3,熟食店,$, 103台北市大同區大龍街132號, 02 2586 4237,星期六、11:00 到 20:00; 星期日、休息; 星期一、11:00 到 20:00; 星期二、11:00 到 20:00; 星期三、11:00 到 20:00; 星期四、11:00 到 20:00; 星期五、11:00 到 20:00. 隱藏本週營業時間,
80,川婆娘四川麻辣燙加熱滷味,221,4.4,熟食店,$, 103台北市大同區大龍街232號, 02 2599 2473,星期六、休息; 星期日、17:30 到 00:30; 星期一、17:30 到 00:30; 星期二、17:30 到 00:30; 星期三、休息; 星期四、17:30 到 00:30; 星期五、17:30 到 00:30. 隱藏本週營業時間,https://www.facebook.com/pages/%E5%B7%9D%E5%A9%86%E5%A8%98%E5%8A%A0%E7%86%B1%E6%BB%B7%E5%91%B3/183663768346661
81,巨林美而美,27,4.1,早餐餐廳,$, 103台北市大同區大龍街100號, 02 2599 2797,星期六、06:30 到 13:00; 星期日、06:30 到 13:00; 星期一、06:30 到 12:30; 星期二、06:30 到 12:30; 星期三、06:30 到 12:30; 星期四、06:30 到 12:30; 星期五、06:30 到 12:30. 隱藏本週營業時間,
82,日式日本風味料理,82,4.5,熟食店,$, 103台北市大同區重慶北路三段335巷19號, 02 2585 1365,星期六、10:30 到 19:00; 星期日、休息; 星期一、10:30 到 19:00; 星期二、10:30 到 19:00; 星期三、10:30 到 19:00; 星期四、10:30 到 19:00; 星期五、10:30 到 19:00. 隱藏本週營業時間,
83,美立美早餐店,17,4.3,早餐餐廳,, 103台北市大同區大龍街179號, 02 2592 3250,星期六、06:30 到 10:00; 星期日、休息; 星期一、06:30 到 10:00; 星期二、06:30 到 10:00; 星期三、06:30 到 10:00; 星期四、06:30 到 10:00; 星期五、06:30 到 10:00. 隱藏本週營業時間,
84,大龍街阿忠碳烤店,101,4.4,燒烤用品店,, 103台北市大同區大龍街85巷1號, 0910 130 510,星期六、17:30 到 23:30; 星期日、17:30 到 23:30; 星期一、休息; 星期二、17:30 到 23:30; 星期三、17:30 到 23:30; 星期四、17:30 到 23:30; 星期五、17:30 到 23:30. 隱藏本週營業時間,https://thudadai.pixnet.net/blog/post/21680321
85,漁陶屋 日式料理,"2,811",4.5,日本餐廳,$$, 103台北市大同區承德路三段206之1號, 02 2585 6383,星期六、11:30 到 15:00、17:00 到 22:00; 星期日、11:30 到 15:00、17:00 到 22:00; 星期一、11:30 到 15:00、17:30 到 22:00; 星期二、11:30 到 15:00、17:30 到 22:00; 星期三、11:30 到 15:00、17:30 到 22:00; 星期四、11:30 到 15:00、17:30 到 22:00; 星期五、11:30 到 15:00、17:30 到 22:00. 隱藏本週營業時間,https://misshuan.tw/expopark-2012-0922/
86,小鳳米粉湯,108,4.3,熟食店,$, 10369台北市大同區大龍街265號1F, 02 2596 3387,星期六、11:00 到 20:30; 星期日、休息; 星期一、11:00 到 20:30; 星期二、11:00 到 20:30; 星期三、11:00 到 20:30; 星期四、11:00 到 20:30; 星期五、11:00 到 20:30. 隱藏本週營業時間,
87,大龍街米粉湯,34,3.8,熟食店,," No. 188號, 大龍街大同區台北市103",,星期六、16:00 到 22:00; 星期日、休息; 星期一、16:00 到 22:00; 星期二、16:00 到 22:00; 星期三、16:00 到 22:00; 星期四、16:00 到 22:00; 星期五、16:00 到 22:00. 隱藏本週營業時間,
88,大龍峒阿嬤麵線店,30,4.4,麵店,," 之 １ 号, No. 24重慶北路三段335巷大同區台北市103", 0900 102 910,星期六、06:00 到 13:00; 星期日、06:00 到 13:00; 星期一、06:00 到 13:00; 星期二、休息; 星期三、休息; 星期四、休息; 星期五、休息. 隱藏本週營業時間,
89,裴記冷凍手工水餃,56,4.3,餃子店,, 103台北市大同區重慶北路三段257巷26號, 02 2591 9615,星期六、09:00 到 20:00; 星期日、09:00 到 20:00; 星期一、休息; 星期二、09:00 到 20:00; 星期三、09:00 到 20:00; 星期四、09:00 到 20:00; 星期五、09:00 到 20:00. 隱藏本週營業時間,
90,下路仔米苔目,414,4.3,餐廳,$, 103台北市大同區承德路三段108巷29號, 02 2595 9751,星期六、08:00 到 16:30; 星期日、08:00 到 16:30; 星期一、休息; 星期二、08:00 到 16:30; 星期三、08:00 到 16:30; 星期四、08:00 到 16:30; 星期五、08:00 到 16:30. 隱藏本週營業時間,https://m.facebook.com/mini5230/?ref=bookmarks
91,八方雲集 (台北大龍店),227,3.6,餃子店,$, 103台北市大同區大龍街271號, 02 2595 1781,星期六、11:00 到 20:30; 星期日、休息; 星期一、11:00 到 20:30; 星期二、11:00 到 20:30; 星期三、11:00 到 20:30; 星期四、11:00 到 20:30; 星期五、11:00 到 20:30. 隱藏本週營業時間,http://www.8way.com.tw/
92,D.G. Café,698,4.1,,$$, 103台北市大同區迪化街一段334號, 02 2553 6711,星期六、10:00 到 20:00; 星期日、10:00 到 20:00; 星期一、10:00 到 20:00; 星期二、10:00 到 20:00; 星期三、10:00 到 20:00; 星期四、10:00 到 20:00; 星期五、10:00 到 20:00. 隱藏本週營業時間,http://www.dghotel.com.tw/index.html
93,甜在心地瓜QQ球,,5.0,餐廳,, 103台北市大同區大龍街271號前,,星期六、14:30 到 22:00; 星期日、14:30 到 22:00; 星期一、14:30 到 22:00; 星期二、14:30 到 22:00; 星期三、14:30 到 22:00; 星期四、14:30 到 22:00; 星期五、14:30 到 22:00. 隱藏本週營業時間,
94,牛奶好棒,,5.0,餐廳,, 103台北市大同區大龍街255號,,星期六、15:00 到 21:00; 星期日、15:00 到 21:00; 星期一、15:00 到 21:00; 星期二、15:00 到 21:00; 星期三、15:00 到 21:00; 星期四、15:00 到 21:00; 星期五、15:00 到 21:00. 隱藏本週營業時間,
95,鍋戰の物-大龍店,42,2.8,火鍋餐廳,, 103台北市大同區大龍街296號, 02 2585 0910,星期六、11:00 到 23:00; 星期日、11:00 到 23:00; 星期一、11:00 到 23:00; 星期二、11:00 到 23:00; 星期三、11:00 到 23:00; 星期四、11:00 到 23:00; 星期五、11:00 到 23:00. 隱藏本週營業時間,
96,KONMUSU日式飯糰（搬家中十一月底再開）,38,4.3,早餐餐廳,, 103台北市大同區大龍街91巷2-1號,,星期六、07:00 到 14:00; 星期日、休息; 星期一、07:00 到 10:30; 星期二、07:00 到 10:30; 星期三、07:00 到 10:30; 星期四、07:00 到 14:00; 星期五、07:00 到 14:00. 隱藏本週營業時間,
